open_date,close_date,ticker,sector,signal_type,score,mtf_aligned,rsi,adx,mfi,volume_ratio,atr_at_entry,power_score,sector_flow,ml_probability,expected_value_pct,risk_reward,mae_pct,mfe_pct,days_held,exit_reason,final_pnl_pct,result,hit
2026-06-05,2026-06-12,4146,صناعية,breakout,6.55,3,66.2,16.4,69.1,5.5,0.49,0,,,2.62,1.01,-4.43,7.49,7,Trailing Stop Hit (after T1),3.52,WIN_PARTIAL_TRAIL,1
2026-06-09,2026-06-12,4291,عقار,breakout,7.57,3,73.5,26.6,79.7,6.5,2.95,0,,,2.01,1.0,-0.59,3.28,3,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-09,2026-06-12,8010,تأمين,breakout,7.41,3,76.3,42.6,78.2,5.0,3.65,0,,,2.1,1.0,-0.33,4.28,3,Trailing Stop Hit (after T1),1.89,WIN_PARTIAL_TRAIL,1
2026-06-10,2026-06-12,8230,تأمين,breakout,6.27,3,69.8,28.0,94.4,2.4,2.43,0,,,1.84,1.0,-0.54,2.21,2,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-10,2026-06-12,8180,تأمين,breakout,6.23,3,61.1,32.4,45.7,2.1,0.31,0,,,2.6,1.0,-0.36,4.74,2,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-10,2026-06-12,1321,بتروكيماويات,support_bounce,6.03,2,62.1,51.7,45.2,6.7,7.05,0,,,3.49,1.0,-2.22,5.51,2,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-11,2026-06-12,1833,فنادق,breakout,7.46,3,76.0,47.5,88.9,2.6,2.22,0,,,1.92,1.0,-2.21,1.86,1,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-11,2026-06-15,2223,بتروكيماويات,breakout,9.18,3,64.1,32.5,57.3,2.8,2.41,0,,,1.64,1.0,-5.14,1.34,4,Stop Hit,-3.27,LOSS,0
2026-06-12,2026-06-15,4280,عقار,breakout,12.9,3,65.5,34.4,54.0,2.6,0.7,0,,,5.64,0.8,-7.75,5.61,3,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-12,2026-06-15,4291,عقار,breakout,8.38,3,76.8,33.2,79.3,3.2,3.15,0,,,2.1,0.8,-0.12,2.15,3,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-11,2026-06-16,2340,بتروكيماويات,breakout,10.22,3,70.8,27.4,91.6,10.1,0.29,0,,,2.39,1.02,-3.21,2.41,5,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-11,2026-06-16,4263,نقل,support_bounce,6.06,3,60.2,13.3,71.9,3.6,2.63,0,,,1.17,1.0,-0.43,5.46,5,Target2 Hit,3.4,WIN_T2,1
2026-06-12,2026-06-16,8280,تأمين,breakout,8.1,3,73.9,18.1,87.8,9.1,0.27,0,,,2.07,0.8,0.0,5.89,4,Trailing Stop Hit (after T1),2.35,WIN_PARTIAL_TRAIL,1
2026-06-12,2026-06-17,8180,تأمين,breakout,7.97,3,71.0,34.1,60.5,2.8,0.32,0,,,2.63,0.79,0.0,8.15,5,Trailing Stop Hit (after T1),3.38,WIN_PARTIAL_TRAIL,1
2026-06-15,2026-06-17,2130,صناعية,breakout,10.1,3,78.7,55.4,84.1,2.3,0.69,0,,,4.35,0.81,-3.58,2.48,2,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-15,2026-06-18,8012,تأمين,breakout,9.32,3,76.3,31.3,89.7,4.8,0.21,0,,,1.54,0.78,-4.32,0.66,3,Stop Hit,-3.14,LOSS,0
2026-06-16,2026-06-18,4040,نقل,support_bounce,10.82,3,57.4,27.1,69.3,0.8,0.27,0,,,2.06,0.78,-3.73,0.43,2,Stop Hit,-4.04,LOSS,0
2026-06-16,2026-06-18,6017,زراعة وأغذية,breakout,10.62,3,61.8,25.4,71.7,2.4,0.45,0,,,3.13,0.79,-2.89,1.76,2,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-16,2026-06-18,4017,رعاية صحية,breakout,10.26,3,69.8,18.3,74.9,4.2,0.78,0,,,1.78,0.8,-1.76,1.55,2,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-12,2026-06-19,1320,بتروكيماويات,breakout,9.05,3,60.6,22.6,74.5,2.7,1.55,0,,,2.53,0.8,-3.18,0.77,7,Max Holding Days Reached,-0.11,TIME_LOSS,0
2026-06-17,2026-06-19,4291,عقار,default,7.63,2,76.4,39.8,87.0,4.8,3.27,0,,,2.13,0.8,-1.97,1.65,2,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-18,2026-06-19,8250,تأمين,breakout,12.17,3,76.3,37.9,77.3,4.2,0.85,0,,,2.47,0.8,-1.51,1.76,1,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-12,2026-06-22,1321,بتروكيماويات,default,7.58,3,69.5,51.9,46.3,1.6,7.66,0,,,3.65,0.8,-4.08,2.77,10,Max Holding Days Reached,1.58,TIME_WIN,1
2026-06-15,2026-06-22,6019,زراعة وأغذية,breakout,12.09,3,67.8,22.8,76.5,3.6,0.58,0,,,2.19,0.8,-2.6,0.65,7,Max Holding Days Reached,0.56,TIME_WIN,1
2026-06-18,2026-06-22,4061,تجزئة,support_bounce,12.97,3,62.2,34.9,79.0,6.2,0.27,0,,,2.16,0.8,-1.87,2.41,4,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-19,2026-06-22,8280,تأمين,breakout,12.62,3,80.9,36.0,88.8,3.3,0.42,0,,,3.18,0.79,-5.52,1.89,3,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-19,2026-06-22,4325,عقار,default,11.56,3,64.0,30.7,76.9,1.4,0.42,0,,,2.17,0.79,-0.89,1.78,3,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-19,2026-06-22,7200,تقنية,breakout,10.4,3,77.2,27.5,82.5,3.9,5.45,0,,,2.27,0.8,-2.49,1.57,3,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-17,2026-06-23,6013,زراعة وأغذية,breakout,10.43,3,66.4,26.5,87.9,2.0,2.67,0,,,2.48,0.8,-5.04,0.05,6,Stop Hit,-4.51,LOSS,0
2026-06-22,2026-06-23,4061,تجزئة,breakout,10.83,3,63.7,37.6,74.2,2.1,0.28,0,,,2.17,0.81,-1.32,2.03,1,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-22,2026-06-23,1304,بتروكيماويات,breakout,8.7,3,63.9,17.7,71.4,3.2,0.95,0,,,2.02,0.8,-1.16,4.75,1,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-22,2026-06-23,6050,زراعة وأغذية,breakout,7.32,3,66.8,20.9,77.2,4.3,1.39,0,,,3.05,0.8,0.0,9.74,1,Target2 Hit,9.17,WIN_T2,1
2026-06-18,2026-06-24,4327,عقار,breakout,14.79,3,63.7,28.0,89.0,7.8,1.64,0,,,2.55,0.8,-4.11,1.46,6,Stop Hit,-4.57,LOSS,0
2026-06-18,2026-06-24,2180,بتروكيماويات,breakout,11.6,3,78.0,37.4,92.3,5.0,0.8,0,,,2.27,0.8,-1.4,5.98,6,Trailing Stop Hit (after T1),2.35,WIN_PARTIAL_TRAIL,1
2026-06-22,2026-06-24,1835,صناعية,breakout,9.1,3,71.5,29.9,83.4,4.1,0.85,0,,,1.53,0.8,-2.76,0.66,2,Stop Hit,-3.12,LOSS,0
2026-06-23,2026-06-24,4160,تجزئة,breakout,13.03,3,61.3,26.2,74.5,4.9,1.06,0,,,2.96,0.8,-3.34,2.2,1,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-24,2026-06-25,2180,بتروكيماويات,breakout,12.35,3,81.0,46.2,88.3,2.4,0.86,0,,,2.39,0.8,-0.58,3.57,1,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-24,2026-06-25,6060,زراعة وأغذية,breakout,9.57,3,71.3,19.4,84.3,7.8,0.34,0,,,2.21,0.8,-1.12,6.21,1,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-24,2026-06-25,6020,زراعة وأغذية,breakout,7.66,3,56.8,20.9,67.1,3.7,0.29,0,,,2.02,0.8,-1.81,2.37,1,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-22,2026-06-26,6019,زراعة وأغذية,default,7.66,3,66.8,29.1,68.3,2.2,0.53,0,,,2.03,0.8,-2.53,3.05,4,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-23,2026-06-26,8200,تأمين,default,9.61,2,59.6,27.9,62.6,0.9,0.54,0,,,1.75,0.8,-3.85,0.55,3,Stop Hit,-3.46,LOSS,0
2026-06-25,2026-06-26,6050,زراعة وأغذية,breakout,13.08,3,86.0,30.2,92.4,4.3,2.1,0,,,3.66,0.8,-1.87,5.81,1,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-25,2026-06-26,4100,عقار,breakout,12.49,3,63.1,20.6,73.4,3.3,2.35,0,,,2.35,0.8,-5.16,0.0,1,Stop Hit,-4.36,LOSS,0
2026-06-25,2026-06-26,4300,عقار,breakout,12.43,3,63.8,21.9,76.9,3.7,0.4,0,,,1.93,0.8,-5.78,0.0,1,Stop Hit,-3.72,LOSS,0
2026-06-23,2026-06-29,8030,تأمين,default,10.3,3,71.7,43.2,86.4,1.4,0.43,0,,,2.37,0.81,-3.19,2.05,6,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-24,2026-06-29,1020,بنوك,default,7.38,3,72.6,37.9,70.0,1.5,0.14,0,,,1.02,1.05,-3.05,0.82,5,Stop Hit,-2.22,LOSS,0
2026-06-26,2026-06-29,4160,تجزئة,breakout,11.93,3,64.5,30.5,81.9,3.6,1.25,0,,,3.63,0.8,-0.81,3.43,3,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-26,2026-06-29,7200,تقنية,default,11.26,3,78.9,37.4,80.3,1.3,6.36,0,,,2.68,0.8,-0.82,4.16,3,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-26,2026-06-29,4190,تجزئة,default,10.35,3,62.6,21.5,83.5,1.4,0.31,0,,,1.62,0.8,-2.85,0.0,3,Stop Hit,-3.22,LOSS,0
2026-06-22,2026-06-30,8280,تأمين,default,7.55,2,66.6,39.4,73.5,3.1,0.46,0,,,3.91,0.8,-5.43,1.76,8,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-23,2026-06-30,4070,إعلام,default,9.8,3,75.0,47.0,77.8,4.2,0.43,0,,,2.19,0.81,-4.5,1.17,7,Stop Hit,-4.22,LOSS,0
2026-06-26,2026-06-30,1213,خدمات مالية,breakout,14.3,3,67.8,17.8,72.5,3.6,0.89,0,,,3.64,0.8,0.0,15.65,4,Trailing Stop Hit (after T1),7.02,WIN_PARTIAL_TRAIL,1
2026-06-26,2026-06-30,6050,زراعة وأغذية,default,11.39,3,84.9,33.8,94.6,3.3,2.28,0,,,4.12,0.8,0.0,20.61,4,Trailing Stop Hit (after T1),9.45,WIN_PARTIAL_TRAIL,1
2026-06-29,2026-06-30,4146,صناعية,default,11.3,3,61.5,27.4,71.3,0.3,0.6,0,,,3.73,0.8,-0.47,3.08,1,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-29,2026-06-30,1304,بتروكيماويات,support_bounce,10.02,2,57.9,23.7,78.6,0.5,1.12,0,,,2.49,0.8,-1.5,2.61,1,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-29,2026-07-01,7200,تقنية,default,10.93,3,81.4,39.6,80.1,0.9,6.7,0,,,2.8,0.8,-1.76,2.01,2,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-30,2026-07-01,2030,طاقة,breakout,17.68,3,70.4,27.9,75.4,4.8,1.51,0,,,2.86,0.8,0.0,8.9,1,Target2 Hit,8.77,WIN_T2,1
2026-06-30,2026-07-01,4146,صناعية,breakout,16.76,3,64.5,28.3,83.5,4.2,0.6,0,,,3.62,0.8,-2.09,2.72,1,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-30,2026-07-01,4145,صناعية,breakout,12.61,3,62.1,16.3,79.7,3.7,0.61,0,,,2.13,0.8,-1.5,2.73,1,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-29,2026-07-02,8012,تأمين,mean_reversion,9.39,1,52.8,28.8,70.1,0.9,0.29,0,,,2.25,0.8,-1.71,2.39,3,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-30,2026-07-02,6050,زراعة وأغذية,breakout,13.91,3,90.6,40.6,96.8,2.1,2.82,0,,,4.25,0.8,0.0,19.88,2,Trailing Stop Hit (after T1),9.06,WIN_PARTIAL_TRAIL,1
2026-06-30,2026-07-02,1213,خدمات مالية,breakout,12.3,3,80.3,24.2,84.3,2.5,1.13,0,,,4.15,0.8,-1.9,9.34,2,Trailing Stop Hit (after T1),3.84,WIN_PARTIAL_TRAIL,1
2026-07-01,2026-07-02,4144,صناعية,breakout,16.73,3,61.8,30.7,67.2,4.2,2.39,0,,,3.42,0.8,-2.01,2.11,1,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-07-01,2026-07-02,2030,طاقة,breakout,16.6,3,76.3,31.6,85.0,6.4,1.73,0,,,3.2,0.8,-6.0,0.17,1,Stop Hit,-5.25,LOSS,0
2026-07-01,2026-07-02,2340,بتروكيماويات,breakout,14.35,3,76.7,41.0,72.4,3.2,0.37,0,,,2.88,0.8,-1.38,6.9,1,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-29,2026-07-03,8030,تأمين,default,10.58,3,66.0,46.4,83.1,1.0,0.44,0,,,2.47,0.8,-3.26,1.57,4,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-07-02,2026-07-03,4194,تجزئة,breakout,19.84,3,62.9,28.1,71.4,2.4,1.43,0,,,2.96,0.8,-2.69,1.76,1,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-07-02,2026-07-03,8120,تأمين,default,15.52,3,79.4,52.4,73.6,1.7,0.38,0,,,2.5,0.81,-0.78,2.84,1,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-07-02,2026-07-03,1323,بتروكيماويات,default,12.92,3,60.6,21.6,65.5,2.4,0.47,0,,,1.6,0.8,-0.97,2.59,1,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-07-02,2026-07-03,4160,تجزئة,breakout,12.38,3,76.8,36.7,84.2,4.3,1.45,0,,,3.97,0.8,-4.91,9.72,1,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-07-02,2026-07-03,6050,زراعة وأغذية,default,12.1,2,91.0,47.3,98.5,4.9,3.7,0,,,5.39,0.8,-2.94,5.84,1,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-06-30,2026-07-06,1304,بتروكيماويات,default,13.35,3,63.1,24.7,79.5,1.1,1.16,0,,,2.54,0.8,-2.97,2.03,6,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-07-03,2026-07-06,4160,تجزئة,breakout,15.82,3,82.1,39.3,87.1,3.6,1.76,0,,,4.7,0.8,-4.57,4.62,3,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-07-03,2026-07-06,2280,زراعة وأغذية,breakout,14.08,3,64.1,18.4,67.8,2.7,0.89,0,,,1.66,0.8,-6.28,0.0,3,Stop Hit,-3.3,LOSS,0
2026-07-06,2026-07-07,1213,خدمات مالية,breakout,17.19,3,72.0,34.2,68.2,2.7,1.55,0,,,5.73,0.8,-10.71,0.45,1,Stop Hit,-7.86,LOSS,0
2026-07-06,2026-07-07,6013,زراعة وأغذية,breakout,13.2,3,62.7,32.9,81.4,3.5,3.71,0,,,3.84,0.8,-4.6,2.74,1,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-07-06,2026-07-07,6001,زراعة وأغذية,breakout,12.71,3,76.2,40.1,83.2,4.6,0.82,0,,,2.12,0.8,-3.37,4.13,1,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-07-01,2026-07-08,2090,بتروكيماويات,breakout,12.4,3,65.7,11.6,74.1,4.8,0.3,0,,,1.75,0.8,-3.09,0.81,7,Stop Hit,-3.51,LOSS,0
2026-07-03,2026-07-08,1323,بتروكيماويات,breakout,15.03,3,67.6,23.4,69.9,2.6,0.5,0,,,1.68,0.8,-2.38,1.55,5,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-07-07,2026-07-08,4264,نقل,support_bounce,12.16,2,54.3,27.5,47.2,0.2,1.32,0,,,2.07,0.8,-0.29,3.37,1,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
2026-07-07,2026-07-08,6013,زراعة وأغذية,breakout,11.41,2,62.7,32.9,81.4,3.5,3.71,0,,,3.84,0.8,-2.05,1.96,1,Breakeven Stop (profit protection),-0.5,BREAKEVEN,0
